Time[s], VP-TXD-OUT, VP-RXD-IN
-0.100000000000000, 1, 1
-0.003407000000000, 1, 0
-0.003198750000000, 1, 1
-0.003094500000000, 1, 0
-0.002990250000000, 1, 1
-0.002781750000000, 1, 0
-0.002677750000000, 1, 1
-0.002573500000000, 1, 0
-0.002469250000000, 1, 1
0.000000000000000, 0, 1
0.000520000000000, 1, 1
0.000624000000000, 0, 1
0.000728000000000, 1, 1
0.000832000000000, 0, 1
0.000936000000000, 1, 1
0.196644500000000, 1, 0
0.196853000000000, 1, 1
0.196957250000000, 1, 0
0.197061250000000, 1, 1
0.197269750000000, 1, 0
0.197374000000000, 1, 1
0.197478000000000, 1, 0
0.197582250000000, 1, 1
0.396696500000000, 1, 0
0.396904750000000, 1, 1
0.397009000000000, 1, 0
0.397113250000000, 1, 1
0.397321500000000, 1, 0
0.397425750000000, 1, 1
0.397530000000000, 1, 0
0.397634250000000, 1, 1
0.596748250000000, 1, 0
0.596956750000000, 1, 1
0.597061000000000, 1, 0
0.597165000000000, 1, 1
0.597373500000000, 1, 0
0.597477750000000, 1, 1
0.597581750000000, 1, 0
0.597686000000000, 1, 1
0.796800250000000, 1, 0
0.796904500000000, 1, 1
0.797112750000000, 1, 0
0.797321250000000, 1, 1
0.797529500000000, 1, 0
0.797738000000000, 1, 1
0.996852000000000, 1, 0
0.996956250000000, 1, 1
0.997164750000000, 1, 0
0.997373000000000, 1, 1
0.997581500000000, 1, 0
0.997789750000000, 1, 1
1.000353500000000, 0, 1
1.000561750000000, 1, 1
1.000769750000000, 0, 1
1.001081750000000, 1, 1
1.196904000000000, 1, 0
1.197112250000000, 1, 1
1.197320750000000, 1, 0
1.197633250000000, 1, 1
1.200278750000000, 0, 1
1.200798750000000, 1, 1
1.200902750000000, 0, 1
1.201006750000000, 1, 1
1.201111000000000, 0, 1
1.201215000000000, 1, 1
2.397215500000000, 1, 0
2.397423750000000, 1, 1
2.397528000000000, 1, 0
2.397632250000000, 1, 1
2.397840500000000, 1, 0
2.397944750000000, 1, 1
2.398049000000000, 1, 0
2.398153250000000, 1, 1
2.597267000000000, 1, 0
2.597475500000000, 1, 1
2.597579500000000, 1, 0
2.597683750000000, 1, 1
2.597892250000000, 1, 0
2.597996250000000, 1, 1
2.598100500000000, 1, 0
2.598204750000000, 1, 1
2.797319000000000, 1, 0
2.797527250000000, 1, 1
2.797631500000000, 1, 0
2.797735750000000, 1, 1
2.797944000000000, 1, 0
2.798048250000000, 1, 1
2.798152500000000, 1, 0
2.798256750000000, 1, 1
2.997370750000000, 1, 0
2.997579250000000, 1, 1
2.997683250000000, 1, 0
2.997787500000000, 1, 1
2.997996000000000, 1, 0
2.998100000000000, 1, 1
2.998204250000000, 1, 0
2.998308500000000, 1, 1
3.197422500000000, 1, 0
3.197526750000000, 1, 1
3.197735250000000, 1, 0
3.197943500000000, 1, 1
3.198152000000000, 1, 0
3.198360250000000, 1, 1
3.200778000000000, 0, 1
3.200986000000000, 1, 1
3.201090000000000, 0, 1
3.201194250000000, 1, 1
3.201402250000000, 0, 1
3.201506250000000, 1, 1
3.201610250000000, 0, 1
3.201714250000000, 1, 1
3.397474500000000, 1, 0
3.397578750000000, 1, 1
3.397787000000000, 1, 0
3.397995500000000, 1, 1
3.398203750000000, 1, 0
3.398412250000000, 1, 1
3.400807250000000, 0, 1
3.401327250000000, 1, 1
3.401431250000000, 0, 1
3.401535250000000, 1, 1
3.401639250000000, 0, 1
3.401743250000000, 1, 1
3.597526250000000, 1, 0
3.597734750000000, 1, 1
3.597943000000000, 1, 0
3.598255750000000, 1, 1
4.797837749999999, 1, 0
4.798046250000000, 1, 1
4.798150500000000, 1, 0
4.798254500000000, 1, 1
4.798463000000000, 1, 0
4.798567250000000, 1, 1
4.798671500000000, 1, 0
4.798775500000000, 1, 1
4.997889499999999, 1, 0
4.998097749999999, 1, 1
4.998202000000000, 1, 0
4.998306250000000, 1, 1
4.998514500000000, 1, 0
4.998618749999999, 1, 1
4.998723000000000, 1, 0
4.998827250000000, 1, 1
5.197941250000000, 1, 0
5.198149750000000, 1, 1
5.198253999999999, 1, 0
5.198358000000000, 1, 1
5.198566500000000, 1, 0
5.198670750000000, 1, 1
5.198774750000000, 1, 0
5.198879000000000, 1, 1
5.397993250000000, 1, 0
5.398201500000000, 1, 1
5.398305750000000, 1, 0
5.398410000000000, 1, 1
5.398618250000000, 1, 0
5.398722500000000, 1, 1
5.398826750000000, 1, 0
5.398931000000000, 1, 1
5.401410500000000, 0, 1
5.401618500000000, 1, 1
5.401722500000000, 0, 1
5.401826499999999, 1, 1
5.402034749999999, 0, 1
5.402138750000000, 1, 1
5.402242750000000, 0, 1
5.402346750000000, 1, 1
5.598045000000000, 1, 0
5.598149250000000, 1, 1
5.598357750000000, 1, 0
5.598566000000000, 1, 1
5.598774499999999, 1, 0
5.598982749999999, 1, 1
5.601439750000000, 0, 1
5.601959750000000, 1, 1
5.602063750000000, 0, 1
5.602167750000000, 1, 1
5.602271750000000, 0, 1
5.602375749999999, 1, 1
5.798096999999999, 1, 0
5.798201000000000, 1, 1
5.798409500000000, 1, 0
5.798617999999999, 1, 1
5.798826249999999, 1, 0
5.799034750000000, 1, 1
5.998148749999999, 1, 0
5.998357250000000, 1, 1
5.998565500000000, 1, 0
5.998877999999999, 1, 1
